long_name,short_name
Flat,Flat
ASH Target,ASH-Target
Harman Target,Harman-Target
HATS Target,HATS-Target
Toole Target,Toole-Target
rtings Target,rtings-Target
ASH Target - Low End,ASH-Target-Low-End
Harman Target - Low End,Harman-Target-Low-End
HATS Target - Low End,HATS-Target-Low-End
Toole Target - Low End,Toole-Target-Low-End
rtings Target - Low End,rtings-Target-Low-End
ASH Target - Flat Highs,ASH-Target-Flat-Highs
Harman Target - Flat Highs,Harman-Target-Flat-Highs
HATS Target - Flat Highs,HATS-Target-Flat-Highs
Toole Target - Flat Highs,Toole-Target-Flat-Highs
rtings Target - Flat Highs,rtings-Target-Flat-Highs
Audio Advice Target 3db,AudioAdvice-3db
Audio Advice Target 4db,AudioAdvice-4db
Audio Advice Target 5db,AudioAdvice-5db
NAD Target,NAD-Target
Harman Target 4dB,Harman-Target-4dB
Harman Target 6dB,Harman-Target-6dB
Harman Target 8dB,Harman-Target-8dB
StormAudio LCR Cinema Target ,LCR-Cinema-Target
StormAudio Surround Cinema Target ,Surround-Cinema-Target
Audio Advice Target 3db - Flat Highs,AudioAdvice-3db-Flat-Highs
Audio Advice Target 4db - Flat Highs,AudioAdvice-4db-Flat-Highs
Audio Advice Target 5db - Flat Highs,AudioAdvice-5db-Flat-Highs
NAD Target - Flat Highs,NAD-Target-Flat-Highs
StormAudio LCR Cinema Target - Flat Highs ,LCR-Cinema-Flat-Highs
StormAudio Surround Cinema Target - Flat Highs,Surround-Cinema-Flat-Highs
